concept Meaningless Typically_feminine Slightly_feminine Neutral Slightly_masculine Typically_masculine
fail_help 0.0 0.0 0.0 4.0 1.0 0.0
grow_big 0.0 0.0 0.0 2.0 2.0 1.0
weigh_much 0.0 0.0 2.0 1.0 2.0 0.0
feel_beat 0.0 1.0 0.0 2.0 1.0 1.0
reflect_life 1.0 1.0 3.0 2.0 0.0 0.0
put_butter 0.0 0.0 2.0 3.0 1.0 0.0
read_news 0.0 0.0 0.0 2.0 3.0 0.0
raise_hand 0.0 0.0 1.0 4.0 1.0 0.0
go_shop 0.0 4.0 2.0 0.0 0.0 0.0
see_doctor 0.0 0.0 3.0 3.0 0.0 0.0
make_plane 1.0 0.0 1.0 0.0 3.0 0.0
give_ear 2.0 0.0 2.0 3.0 0.0 0.0
make_dough 0.0 2.0 3.0 2.0 0.0 0.0
take_note 0.0 0.0 4.0 1.0 0.0 0.0
want_sum 2.0 0.0 0.0 2.0 1.0 1.0
find_woman 0.0 0.0 0.0 0.0 2.0 5.0
tell_how_feel 0.0 4.0 2.0 0.0 0.0 0.0
apply_pressure 0.0 0.0 2.0 2.0 0.0 1.0
see_yourself 1.0 0.0 4.0 2.0 0.0 0.0
say_well 1.0 2.0 0.0 2.0 1.0 0.0
take_holiday 0.0 0.0 0.0 4.0 1.0 0.0
enjoy_holiday 0.0 0.0 1.0 4.0 0.0 0.0
corn_chowder 1.0 0.0 0.0 0.0 0.0 0.0
come_up_air 1.0 0.0 1.0 1.0 2.0 0.0
find_target 0.0 0.0 0.0 2.0 1.0 3.0
hurt_car 1.0 0.0 1.0 1.0 2.0 0.0
keep_ask 3.0 0.0 1.0 1.0 0.0 0.0
say_oh 0.0 0.0 3.0 1.0 1.0 0.0
wrong_idea 2.0 0.0 0.0 0.0 0.0 0.0
pick_subject 0.0 0.0 3.0 2.0 0.0 0.0
bleed_death 0.0 0.0 0.0 4.0 1.0 0.0
buy_train_ticket 0.0 0.0 0.0 5.0 0.0 0.0
sugar_sweet 3.0 1.0 0.0 0.0 0.0 0.0
give_blood 0.0 1.0 0.0 4.0 0.0 0.0
go_out_date 0.0 0.0 1.0 4.0 0.0 0.0
take_drive 0.0 0.0 0.0 1.0 4.0 0.0
pick_up_ticket 0.0 0.0 1.0 2.0 2.0 0.0
add_water 0.0 0.0 3.0 2.0 0.0 0.0
give_aid 0.0 2.0 2.0 1.0 1.0 0.0
black_chocolate 2.0 0.0 0.0 0.0 0.0 0.0
want_woman 0.0 0.0 0.0 0.0 0.0 5.0
avoid_hit 0.0 1.0 1.0 2.0 1.0 0.0
hear_music 0.0 0.0 1.0 4.0 0.0 0.0
garden_need 2.0 0.0 0.0 0.0 0.0 0.0
spend_little 0.0 0.0 2.0 2.0 0.0 1.0
treat_well 0.0 0.0 3.0 1.0 1.0 0.0
feel_warmth 0.0 2.0 3.0 0.0 0.0 0.0
see_somewhere 1.0 0.0 1.0 3.0 0.0 0.0
see_look 1.0 0.0 1.0 2.0 1.0 0.0
make_pork 0.0 1.0 2.0 3.0 0.0 0.0
put_jail 0.0 0.0 0.0 0.0 3.0 2.0
make_error 0.0 0.0 2.0 3.0 0.0 0.0
join_circus 0.0 0.0 0.0 4.0 2.0 0.0
do_it 0.0 0.0 0.0 4.0 0.0 1.0
make_people_happy 0.0 2.0 3.0 0.0 0.0 0.0
think_outside_box 0.0 0.0 3.0 1.0 1.0 0.0
bury_nut 4.0 0.0 0.0 1.0 1.0 0.0
go_back_sleep 0.0 0.0 0.0 2.0 3.0 0.0
spend_time_people 0.0 2.0 3.0 0.0 0.0 0.0
hear_band 0.0 0.0 0.0 2.0 3.0 0.0
meet_friend 0.0 0.0 1.0 4.0 0.0 0.0
put_shirt 0.0 1.0 0.0 4.0 0.0 0.0
read_new 1.0 1.0 0.0 3.0 0.0 0.0
eye_contact 0.0 0.0 1.0 1.0 0.0 0.0
bring_back 2.0 0.0 0.0 2.0 1.0 0.0
find_place 0.0 0.0 1.0 4.0 0.0 0.0
understand_point 0.0 0.0 1.0 4.0 0.0 0.0
think_happy_thought 0.0 1.0 1.0 1.0 1.0 0.0
freshen_up 0.0 3.0 2.0 0.0 0.0 0.0
come_whole 4.0 0.0 0.0 1.0 0.0 0.0
leave_fall 4.0 0.0 0.0 1.0 0.0 0.0
grow_long 1.0 1.0 2.0 1.0 1.0 1.0
leave_body 2.0 1.0 0.0 2.0 0.0 0.0
create_image 0.0 0.0 2.0 3.0 0.0 0.0
give_happiness 0.0 1.0 4.0 1.0 0.0 0.0
learn_lie 0.0 0.0 3.0 1.0 1.0 0.0
buy_movie_ticket 0.0 0.0 0.0 5.0 0.0 0.0
consider_alternative 0.0 0.0 2.0 2.0 1.0 0.0
enter_house 0.0 0.0 0.0 5.0 0.0 0.0
make_uncomfortable 0.0 0.0 0.0 4.0 2.0 0.0
read_read_read 1.0 1.0 2.0 2.0 0.0 0.0
know_city 0.0 0.0 0.0 3.0 2.0 0.0
pick_up_truck 3.0 0.0 0.0 0.0 1.0 1.0
eat_strawberry 0.0 1.0 1.0 4.0 0.0 0.0
make_point 0.0 1.0 0.0 3.0 1.0 0.0
maintain_relationship 0.0 1.0 3.0 1.0 0.0 0.0
meet_stranger 0.0 2.0 2.0 2.0 1.0 0.0
go_backward 0.0 0.0 0.0 7.0 0.0 0.0
put_tape 2.0 0.0 0.0 3.0 0.0 0.0
fail_work 0.0 0.0 0.0 3.0 2.0 0.0
go_daddy 1.0 0.0 0.0 3.0 1.0 1.0
see_dark 3.0 0.0 1.0 1.0 0.0 0.0
be_pregnant 0.0 2.0 0.0 0.0 0.0 0.0
know_king 3.0 0.0 0.0 3.0 0.0 0.0
commit_yourself 0.0 1.0 3.0 1.0 1.0 1.0
suck_big_time 2.0 0.0 0.0 2.0 0.0 1.0
bank_rate 3.0 0.0 0.0 0.0 0.0 0.0
confuse_then 4.0 0.0 0.0 3.0 0.0 0.0
choose_love 0.0 2.0 0.0 3.0 0.0 0.0
court_hearing 1.0 0.0 0.0 0.0 0.0 0.0
grow_strong 0.0 0.0 0.0 1.0 4.0 1.0
take_over_world 1.0 0.0 0.0 1.0 1.0 2.0
shut_down_computer 0.0 0.0 0.0 4.0 1.0 0.0
go_town 0.0 0.0 0.0 2.0 0.0 0.0
enjoy_win 0.0 0.0 0.0 4.0 1.0 1.0
wait_eat 1.0 0.0 2.0 1.0 1.0 0.0
hear_argument 0.0 0.0 2.0 3.0 0.0 0.0
write_down 0.0 0.0 3.0 2.0 0.0 0.0
remember_need 2.0 0.0 2.0 1.0 0.0 0.0
tell_no 0.0 1.0 1.0 2.0 1.0 0.0
read_harry_potter 0.0 0.0 0.0 1.0 0.0 0.0
take_afternoon_off 0.0 0.0 0.0 2.0 2.0 1.0
sell_food 0.0 0.0 0.0 5.0 0.0 0.0
think_word 0.0 0.0 1.0 5.0 0.0 0.0
back_alley 1.0 0.0 0.0 0.0 0.0 0.0
think_ugly 1.0 1.0 0.0 2.0 2.0 0.0
miss_match 3.0 0.0 0.0 1.0 1.0 0.0
keep_bee 1.0 0.0 0.0 1.0 3.0 1.0
eat_supper 0.0 0.0 0.0 5.0 0.0 0.0
hold_key 0.0 0.0 0.0 4.0 1.0 0.0
make_nostalgic 0.0 3.0 2.0 0.0 0.0 0.0
decide_vote 1.0 0.0 1.0 3.0 0.0 0.0
know_face 0.0 1.0 0.0 4.0 0.0 0.0
want_job 0.0 0.0 0.0 3.0 3.0 0.0
english_study 3.0 0.0 1.0 3.0 0.0 0.0
french_love 4.0 0.0 1.0 0.0 0.0 0.0
concentrate_hard 0.0 0.0 1.0 4.0 0.0 0.0
learn_spell 1.0 0.0 1.0 2.0 1.0 0.0
buy_breakfast 0.0 0.0 0.0 6.0 1.0 0.0
bring_result 0.0 0.0 0.0 3.0 2.0 0.0
make_can 3.0 0.0 0.0 1.0 1.0 0.0
die_slow 0.0 0.0 0.0 6.0 0.0 0.0
train_come 3.0 0.0 0.0 0.0 0.0 0.0
carry_baby 0.0 2.0 0.0 0.0 0.0 0.0
go_safe 1.0 0.0 0.0 1.0 0.0 0.0
pick_berry 0.0 0.0 3.0 2.0 0.0 0.0
steal_car 0.0 0.0 0.0 1.0 1.0 3.0
feel_clean 0.0 1.0 1.0 4.0 0.0 0.0
feel_chill 0.0 2.0 2.0 1.0 0.0 0.0
continue_play 0.0 0.0 0.0 3.0 1.0 1.0
give_joy 0.0 2.0 1.0 2.0 0.0 0.0
french_spanish 5.0 0.0 0.0 0.0 0.0 0.0
make_own_decision 0.0 0.0 0.0 3.0 1.0 1.0
ring_set 2.0 0.0 0.0 0.0 0.0 0.0
throw_punch 0.0 0.0 0.0 0.0 3.0 2.0
take_responsibility 0.0 0.0 0.0 3.0 2.0 1.0
people_afraid 2.0 0.0 0.0 2.0 0.0 0.0
make_birthday 2.0 0.0 1.0 2.0 0.0 0.0
meet_people 0.0 0.0 2.0 2.0 1.0 0.0
bid_adieu 0.0 0.0 0.0 1.0 0.0 0.0
become_inspire 1.0 1.0 2.0 3.0 0.0 0.0
meet_new_people 0.0 0.0 2.0 3.0 0.0 0.0
enjoy_down_time 0.0 0.0 0.0 4.0 1.0 0.0
make_spicy 0.0 1.0 1.0 1.0 2.0 0.0
go_heaven 0.0 0.0 0.0 5.0 0.0 0.0
buy_car 0.0 0.0 0.0 2.0 3.0 0.0
wine_beer 1.0 0.0 0.0 1.0 0.0 0.0
eat_quick 0.0 0.0 0.0 2.0 5.0 0.0
hurt_child 0.0 0.0 0.0 3.0 2.0 0.0
try_fix 0.0 0.0 0.0 1.0 4.0 1.0
let_sunshine 2.0 0.0 2.0 1.0 0.0 0.0
argue_idiot 2.0 0.0 1.0 2.0 1.0 0.0
stock_investment 2.0 0.0 0.0 0.0 0.0 0.0
miss_movie 0.0 1.0 0.0 3.0 1.0 0.0
see_often 0.0 0.0 0.0 3.0 0.0 0.0
feel_warm 0.0 1.0 2.0 1.0 1.0 0.0
eat_icecream 0.0 0.0 3.0 2.0 0.0 0.0
avoid_talk 0.0 1.0 0.0 2.0 0.0 2.0
take_care 0.0 0.0 4.0 2.0 0.0 0.0
come_out_closet 0.0 0.0 0.0 5.0 0.0 0.0
catch_wind 0.0 0.0 0.0 4.0 0.0 1.0
go_down_toilet 2.0 1.0 0.0 1.0 0.0 1.0
make_cocktail 0.0 0.0 2.0 2.0 2.0 0.0
go_bank 1.0 0.0 0.0 4.0 0.0 0.0
pull_cover_over_head 0.0 0.0 1.0 2.0 2.0 0.0
go_utah 1.0 0.0 0.0 5.0 0.0 0.0
shut_up_listen 0.0 1.0 0.0 2.0 1.0 2.0
try_cause 3.0 0.0 0.0 1.0 1.0 0.0
protect_skin 0.0 2.0 3.0 0.0 0.0 0.0
buy_flower 0.0 0.0 1.0 0.0 1.0 1.0
grow_plant 0.0 1.0 2.0 1.0 1.0 0.0
make_statement 0.0 0.0 1.0 3.0 1.0 0.0
see_dream 2.0 0.0 1.0 2.0 0.0 0.0
buy_ingredient 0.0 2.0 2.0 1.0 0.0 0.0
think_power 2.0 0.0 0.0 1.0 1.0 1.0
treat_nice 0.0 1.0 5.0 1.0 0.0 0.0
buy_business 0.0 0.0 0.0 0.0 2.0 4.0
kill_bug 0.0 0.0 0.0 1.0 0.0 0.0
take_risk 0.0 0.0 0.0 0.0 2.0 3.0
wait_turn 0.0 0.0 2.0 3.0 0.0 0.0
say_excuse 0.0 0.0 1.0 1.0 2.0 1.0
meet_know 3.0 0.0 0.0 1.0 1.0 0.0
want_study 0.0 0.0 3.0 2.0 0.0 0.0
miss_home 0.0 2.0 2.0 2.0 0.0 0.0
pursue_happiness 0.0 0.0 4.0 1.0 0.0 0.0
impress_people 0.0 0.0 0.0 1.0 3.0 1.0
grow_leg 4.0 0.0 0.0 1.0 0.0 0.0
go_long 0.0 0.0 0.0 0.0 0.0 2.0
eat_neighbor 1.0 0.0 0.0 0.0 0.0 0.0
hide_seek 3.0 0.0 0.0 2.0 0.0 0.0
inspire_love 0.0 2.0 0.0 3.0 0.0 0.0
want_shop 0.0 3.0 2.0 0.0 0.0 0.0
want_revenge 0.0 1.0 0.0 1.0 1.0 2.0
go_skydiving 0.0 0.0 0.0 0.0 0.0 2.0
make_yours 1.0 0.0 1.0 3.0 1.0 0.0
forget_know 1.0 0.0 0.0 4.0 0.0 0.0
happen_fast 3.0 0.0 0.0 2.0 0.0 0.0
write_skill 1.0 1.0 2.0 3.0 0.0 0.0
eat_garlic 0.0 1.0 0.0 2.0 2.0 0.0
build_large 0.0 0.0 0.0 1.0 3.0 1.0
find_bus 1.0 0.0 0.0 4.0 0.0 0.0
make_bleed 0.0 0.0 0.0 1.0 2.0 2.0
see_funny 1.0 0.0 0.0 4.0 1.0 0.0
think_grow_rich 2.0 0.0 0.0 1.0 2.0 0.0
hurt_fall 2.0 0.0 0.0 3.0 1.0 0.0
choose_between 0.0 0.0 1.0 4.0 0.0 0.0
give_birth 0.0 1.0 0.0 0.0 0.0 0.0
let_slip 0.0 0.0 2.0 2.0 2.0 0.0
organize_thought 0.0 1.0 2.0 2.0 0.0 0.0
find_burn 2.0 0.0 0.0 3.0 0.0 0.0
